Дата,Сообщение
2022-08-16T03:00:00.000+03:00,"📊 BUY CHECK bar=110: low=0.203, o2=0.196"
2022-08-16T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-16T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-16T03:00:00.000+03:00,"🎨 DRAW CHECK bar=110: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-17T03:00:00.000+03:00,"📊 BUY CHECK bar=111: low=0.198, o2=0.196"
2022-08-17T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-17T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-17T03:00:00.000+03:00,"🎨 DRAW CHECK bar=111: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-18T03:00:00.000+03:00,"📊 BUY CHECK bar=112: low=0.196, o2=0.196"
2022-08-18T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-18T03:00:00.000+03:00,"📊 Touches: t1=true, t2=true, t3=false, stage=1"
2022-08-18T03:00:00.000+03:00,"🔍 BUY2 DEBUG bar=112: low=0.196, order2Price=0.196"
2022-08-18T03:00:00.000+03:00,"🔍 BUY2 CONDITIONS: growthValid=true, canBuyInCycle=true, isNewFibo=true, cycleHadSell=false"
2022-08-18T03:00:00.000+03:00,"🔍 BUY2 FIBO: lastSoldMin=NaN, lastSoldMax=NaN, min=0.125, effMax=0.309"
2022-08-18T03:00:00.000+03:00,"✅ BUY2: bar=112, price=0.196, cycleId=0"
2022-08-18T03:00:00.000+03:00,"🎨 DRAW CHECK bar=112: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=0, currentCycleId=0"
2022-08-18T03:00:00.000+03:00,"📦 BOX CREATE: startBar=82, endBar=112, cycle=0, minBar=30, valid=1"
2022-08-18T03:00:00.000+03:00,"✅ BOXES CREATED: bar=112, fib_1=0.309, fib_0=0.125"
2022-08-19T03:00:00.000+03:00,"📊 BUY CHECK bar=113: low=0.212, o2=0.196"
2022-08-19T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
2022-08-19T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-19T03:00:00.000+03:00,"🎨 DRAW CHECK bar=113: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-20T03:00:00.000+03:00,"🎨 DRAW CHECK bar=114: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-21T03:00:00.000+03:00,"🎨 DRAW CHECK bar=115: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-22T03:00:00.000+03:00,"📊 BUY CHECK bar=116: low=0.213, o2=0.196"
2022-08-22T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
2022-08-22T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-22T03:00:00.000+03:00,"🎨 DRAW CHECK bar=116: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-23T03:00:00.000+03:00,"📊 BUY CHECK bar=117: low=0.213, o2=0.196"
2022-08-23T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
2022-08-23T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-23T03:00:00.000+03:00,"🎨 DRAW CHECK bar=117: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-24T03:00:00.000+03:00,"📊 BUY CHECK bar=118: low=0.213, o2=0.196"
2022-08-24T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
2022-08-24T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-24T03:00:00.000+03:00,"🎨 DRAW CHECK bar=118: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-25T03:00:00.000+03:00,"📊 BUY CHECK bar=119: low=0.213, o2=0.196"
2022-08-25T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
2022-08-25T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-25T03:00:00.000+03:00,"🎨 DRAW CHECK bar=119: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-26T03:00:00.000+03:00,"📊 BUY CHECK bar=120: low=0.213, o2=0.196"
2022-08-26T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=true, pos3=false"
